"","Concept","ID","Question","ChoiceNumber"
"321","Abraham Lincoln","1","George W. Bush Donald Trump",1
"322","Abraham Lincoln","1","George W. Bush Elizabeth Warren",1
"323","Abraham Lincoln","1","George W. Bush Hillary Clinton",1
"324","Abraham Lincoln","1","George W. Bush Joe Biden",1
"325","Abraham Lincoln","1","George W. Bush Richard Nixon",0
"326","Abraham Lincoln","1","George W. Bush Ronald Reagan",1
"327","Abraham Lincoln","1","Hillary Clinton Barack Obama",1
"328","Abraham Lincoln","1","Hillary Clinton Bernie Sanders",1
"329","Abraham Lincoln","1","Hillary Clinton Donald Trump",0
"330","Abraham Lincoln","1","Hillary Clinton Elizabeth Warren",0
"331","Abraham Lincoln","1","Hillary Clinton George W. Bush",0
"332","Abraham Lincoln","1","Hillary Clinton Joe Biden",1
"333","Abraham Lincoln","1","Hillary Clinton Richard Nixon",0
"334","Abraham Lincoln","1","Hillary Clinton Ronald Reagan",1
"335","Abraham Lincoln","1","Joe Biden Barack Obama",1
"336","Abraham Lincoln","1","Joe Biden Bernie Sanders",0
"337","Abraham Lincoln","1","Joe Biden Donald Trump",0
"338","Abraham Lincoln","1","Joe Biden Elizabeth Warren",0
"339","Abraham Lincoln","1","Joe Biden George W. Bush",0
"340","Abraham Lincoln","1","Joe Biden Hillary Clinton",0
"341","Abraham Lincoln","1","Joe Biden Richard Nixon",0
"342","Abraham Lincoln","1","Joe Biden Ronald Reagan",0
"343","Abraham Lincoln","1","Richard Nixon Barack Obama",1
"344","Abraham Lincoln","1","Richard Nixon Bernie Sanders",1
"345","Abraham Lincoln","1","Richard Nixon Donald Trump",0
"346","Abraham Lincoln","1","Richard Nixon Elizabeth Warren",1
"347","Abraham Lincoln","1","Richard Nixon George W. Bush",0
"348","Abraham Lincoln","1","Richard Nixon Hillary Clinton",0
"349","Abraham Lincoln","1","Richard Nixon Joe Biden",1
"350","Abraham Lincoln","1","Richard Nixon Ronald Reagan",0
"351","Abraham Lincoln","1","Ronald Reagan Barack Obama",1
"352","Abraham Lincoln","1","Ronald Reagan Bernie Sanders",1
"353","Abraham Lincoln","1","Ronald Reagan Donald Trump",0
"354","Abraham Lincoln","1","Ronald Reagan Elizabeth Warren",0
"355","Abraham Lincoln","1","Ronald Reagan George W. Bush",0
"356","Abraham Lincoln","1","Ronald Reagan Hillary Clinton",0
"357","Abraham Lincoln","1","Ronald Reagan Joe Biden",0
"358","Abraham Lincoln","1","Ronald Reagan Richard Nixon",0
"359","Barack Obama","1","Abraham Lincoln Bernie Sanders",1
"360","Barack Obama","1","Abraham Lincoln Donald Trump",0
"361","Barack Obama","1","Abraham Lincoln Elizabeth Warren",0
"362","Barack Obama","1","Abraham Lincoln George W. Bush",0
"363","Barack Obama","1","Abraham Lincoln Hillary Clinton",0
"364","Barack Obama","1","Abraham Lincoln Joe Biden",1
"365","Barack Obama","1","Abraham Lincoln Richard Nixon",0
"366","Barack Obama","1","Abraham Lincoln Ronald Reagan",0
"367","Barack Obama","1","Bernie Sanders Abraham Lincoln",0
"368","Barack Obama","1","Bernie Sanders Donald Trump",0
"369","Barack Obama","1","Bernie Sanders Elizabeth Warren",1
"370","Barack Obama","1","Bernie Sanders George W. Bush",0
"371","Barack Obama","1","Bernie Sanders Hillary Clinton",1
"372","Barack Obama","1","Bernie Sanders Joe Biden",1
"373","Barack Obama","1","Bernie Sanders Richard Nixon",0
"374","Barack Obama","1","Bernie Sanders Ronald Reagan",0
"375","Barack Obama","1","Donald Trump Abraham Lincoln",1
"376","Barack Obama","1","Donald Trump Bernie Sanders",1
"377","Barack Obama","1","Donald Trump Elizabeth Warren",1
"378","Barack Obama","1","Donald Trump George W. Bush",1
"379","Barack Obama","1","Donald Trump Hillary Clinton",1
"380","Barack Obama","1","Donald Trump Joe Biden",1
"381","Barack Obama","1","Donald Trump Richard Nixon",0
"382","Barack Obama","1","Donald Trump Ronald Reagan",1
"383","Barack Obama","1","Elizabeth Warren Abraham Lincoln",1
"384","Barack Obama","1","Elizabeth Warren Bernie Sanders",0
"385","Barack Obama","1","Elizabeth Warren Donald Trump",0
"386","Barack Obama","1","Elizabeth Warren George W. Bush",0
"387","Barack Obama","1","Elizabeth Warren Hillary Clinton",0
"388","Barack Obama","1","Elizabeth Warren Joe Biden",1
"389","Barack Obama","1","Elizabeth Warren Richard Nixon",0
"390","Barack Obama","1","Elizabeth Warren Ronald Reagan",0
"391","Barack Obama","1","George W. Bush Abraham Lincoln",1
"392","Barack Obama","1","George W. Bush Bernie Sanders",1
"393","Barack Obama","1","George W. Bush Donald Trump",1
"394","Barack Obama","1","George W. Bush Elizabeth Warren",1
"395","Barack Obama","1","George W. Bush Hillary Clinton",1
"396","Barack Obama","1","George W. Bush Joe Biden",1
"397","Barack Obama","1","George W. Bush Richard Nixon",0
"398","Barack Obama","1","George W. Bush Ronald Reagan",0
"399","Barack Obama","1","Hillary Clinton Abraham Lincoln",1
"400","Barack Obama","1","Hillary Clinton Bernie Sanders",0
"401","Barack Obama","1","Hillary Clinton Donald Trump",0
"402","Barack Obama","1","Hillary Clinton Elizabeth Warren",0
"403","Barack Obama","1","Hillary Clinton George W. Bush",0
"404","Barack Obama","1","Hillary Clinton Joe Biden",1
"405","Barack Obama","1","Hillary Clinton Richard Nixon",0
"406","Barack Obama","1","Hillary Clinton Ronald Reagan",0
"407","Barack Obama","1","Joe Biden Abraham Lincoln",1
"408","Barack Obama","1","Joe Biden Bernie Sanders",0
"409","Barack Obama","1","Joe Biden Donald Trump",0
"410","Barack Obama","1","Joe Biden Elizabeth Warren",0
"411","Barack Obama","1","Joe Biden George W. Bush",0
"412","Barack Obama","1","Joe Biden Hillary Clinton",0
"413","Barack Obama","1","Joe Biden Richard Nixon",0
"414","Barack Obama","1","Joe Biden Ronald Reagan",0
"415","Barack Obama","1","Richard Nixon Abraham Lincoln",1
"416","Barack Obama","1","Richard Nixon Bernie Sanders",1
"417","Barack Obama","1","Richard Nixon Donald Trump",0
"418","Barack Obama","1","Richard Nixon Elizabeth Warren",1
"419","Barack Obama","1","Richard Nixon George W. Bush",1
"420","Barack Obama","1","Richard Nixon Hillary Clinton",1
"421","Barack Obama","1","Richard Nixon Joe Biden",1
"422","Barack Obama","1","Richard Nixon Ronald Reagan",1
"423","Barack Obama","1","Ronald Reagan Abraham Lincoln",1
"424","Barack Obama","1","Ronald Reagan Bernie Sanders",1
"425","Barack Obama","1","Ronald Reagan Donald Trump",1
"426","Barack Obama","1","Ronald Reagan Elizabeth Warren",1
"427","Barack Obama","1","Ronald Reagan George W. Bush",0
"428","Barack Obama","1","Ronald Reagan Hillary Clinton",1
"429","Barack Obama","1","Ronald Reagan Joe Biden",1
"430","Barack Obama","1","Ronald Reagan Richard Nixon",0
"431","Bernie Sanders","1","Abraham Lincoln Barack Obama",1
"432","Bernie Sanders","1","Abraham Lincoln Donald Trump",0
"433","Bernie Sanders","1","Abraham Lincoln Elizabeth Warren",1
"434","Bernie Sanders","1","Abraham Lincoln George W. Bush",0
"435","Bernie Sanders","1","Abraham Lincoln Hillary Clinton",0
"436","Bernie Sanders","1","Abraham Lincoln Joe Biden",0
"437","Bernie Sanders","1","Abraham Lincoln Richard Nixon",0
"438","Bernie Sanders","1","Abraham Lincoln Ronald Reagan",0
"439","Bernie Sanders","1","Barack Obama Abraham Lincoln",0
"440","Bernie Sanders","1","Barack Obama Donald Trump",0
"441","Bernie Sanders","1","Barack Obama Elizabeth Warren",1
"442","Bernie Sanders","1","Barack Obama George W. Bush",0
"443","Bernie Sanders","1","Barack Obama Hillary Clinton",0
"444","Bernie Sanders","1","Barack Obama Joe Biden",0
"445","Bernie Sanders","1","Barack Obama Richard Nixon",0
"446","Bernie Sanders","1","Barack Obama Ronald Reagan",0
"447","Bernie Sanders","1","Donald Trump Abraham Lincoln",1
"448","Bernie Sanders","1","Donald Trump Barack Obama",1
"449","Bernie Sanders","1","Donald Trump Elizabeth Warren",1
"450","Bernie Sanders","1","Donald Trump George W. Bush",0
"451","Bernie Sanders","1","Donald Trump Hillary Clinton",1
