Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
a whale,499,7.6,5,36,Simplicity,4,0.16,-127.08132129649374,1,0.28,tulu,random,default,animals
a chicken,499,4.5,4,36,Simplicity,3,0.16,-104.48058782163474,1,0.375,tulu,random,default,animals
a penguin,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,tulu,random,default,animals
a robin,499,3.857142857142857,7,36,Simplicity,3,0.16,-177.78162418191678,1,0.5510204081632654,tulu,random,default,animals
a finch,499,2.0,7,36,Simplicity,2,0.16,-171.02686140001825,1,0.7551020408163265,tulu,random,default,animals
a dolphin,499,1.0,2,36,Simplicity,1,0.16,-50.10808270266405,1,1.0,tulu,random,default,animals
Hillary Clinton,499,2.0,34,36,Simplicity,2,0.16,-777.7381021364082,1,0.9429065743944636,tulu,random,default,politicians
Donald Trump,499,1.0,29,36,Simplicity,1,0.16,-704.3563235957573,1,1.0,tulu,random,default,politicians
Joe Biden,499,2.0,42,36,Simplicity,2,0.16,-909.839242938772,1,0.9535147392290249,tulu,random,default,politicians
Elizabeth Warren,499,2.0,49,36,Simplicity,2,0.16,-1096.204845928544,1,0.9600166597251144,tulu,random,default,politicians
Ronald Reagan,499,1.0,41,36,Simplicity,1,0.16,-903.57874877736,1,1.0,tulu,random,default,politicians
Bernie Sanders,499,3.98,50,36,Simplicity,3,0.16,-1109.8888106816612,1,0.9224,tulu,random,default,politicians
George W. Bush,499,2.0,37,36,Simplicity,2,0.16,-873.2969725143532,1,0.9474068663257852,tulu,random,default,politicians
Barack Obama,499,6.918918918918919,37,36,Simplicity,4,0.16,-819.9093458213322,1,0.8466033601168736,tulu,random,default,politicians
Abraham Lincoln,499,2.0,49,36,Simplicity,2,0.16,-1034.6303178390517,1,0.9600166597251144,tulu,random,default,politicians
Richard Nixon,499,1.0,41,36,Simplicity,1,0.16,-924.9158113662058,1,1.0,tulu,random,default,politicians
a salmon,499,2.0,12,36,Simplicity,2,0.16,-274.412577489241,1,0.8472222222222221,tulu,random,default,animals
an eagle,499,3.8333333333333335,6,36,Simplicity,3,0.16,-129.91741972558228,1,0.5,tulu,random,default,animals
a seal,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,tulu,random,default,animals
an ostrich,499,2.0,13,36,Simplicity,2,0.16,-291.04101226178994,1,0.7396449704142012,tulu,random,default,animals
a whale,499,7.6,5,36,Simplicity,4,0.16,-127.08132129649374,1,0.28,tulu,random,default,animals
a chicken,499,4.5,4,36,Simplicity,3,0.16,-104.48058782163474,1,0.375,tulu,random,default,animals
a penguin,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,tulu,random,default,animals
a robin,499,3.857142857142857,7,36,Simplicity,3,0.16,-177.78162418191678,1,0.5510204081632654,tulu,random,default,animals
a finch,499,2.0,7,36,Simplicity,2,0.16,-171.02686140001825,1,0.7551020408163265,tulu,random,default,animals
a dolphin,499,1.0,2,36,Simplicity,1,0.16,-50.10808270266405,1,1.0,tulu,random,default,animals
Hillary Clinton,499,2.0,34,36,Simplicity,2,0.16,-777.7381021364082,1,0.9429065743944636,tulu,random,default,politicians
Donald Trump,499,1.0,29,36,Simplicity,1,0.16,-704.3563235957573,1,1.0,tulu,random,default,politicians
Joe Biden,499,2.0,42,36,Simplicity,2,0.16,-909.839242938772,1,0.9535147392290249,tulu,random,default,politicians
Elizabeth Warren,499,2.0,49,36,Simplicity,2,0.16,-1096.204845928544,1,0.9600166597251144,tulu,random,default,politicians
Ronald Reagan,499,1.0,41,36,Simplicity,1,0.16,-903.57874877736,1,1.0,tulu,random,default,politicians
Bernie Sanders,499,2.0,53,36,Simplicity,2,0.16,-1168.6395134935217,1,0.9629761480954075,tulu,random,default,politicians
George W. Bush,499,2.0,37,36,Simplicity,2,0.16,-873.2969725143532,1,0.9474068663257852,tulu,random,default,politicians
Barack Obama,499,6.918918918918919,37,36,Simplicity,4,0.16,-819.9093458213322,1,0.8466033601168736,tulu,random,default,politicians
Abraham Lincoln,499,2.0,49,36,Simplicity,2,0.16,-1034.6303178390517,1,0.9600166597251144,tulu,random,default,politicians
Richard Nixon,499,1.0,41,36,Simplicity,1,0.16,-924.9158113662058,1,1.0,tulu,random,default,politicians
a salmon,499,2.0,12,36,Simplicity,2,0.16,-274.412577489241,1,0.8472222222222221,tulu,random,default,animals
an eagle,499,3.8333333333333335,6,36,Simplicity,3,0.16,-129.91741972558228,1,0.5,tulu,random,default,animals
a seal,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,tulu,random,default,animals
an ostrich,499,2.0,13,36,Simplicity,2,0.16,-291.04101226178994,1,0.7396449704142012,tulu,random,default,animals
a whale,499,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.2,tulu,random,default,animals
a chicken,499,8.5,4,36,Simplicity,4,0.16,-102.99124783098016,1,0.25,tulu,random,default,animals
a penguin,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,tulu,random,default,animals
a robin,499,6.571428571428571,7,36,Simplicity,4,0.16,-175.95892575603406,1,0.3877551020408163,tulu,random,default,animals
a finch,499,2.0,7,36,Simplicity,2,0.16,-171.02686140001825,1,0.7551020408163265,tulu,random,default,animals
a dolphin,499,1.0,2,36,Simplicity,1,0.16,-50.10808270266405,1,1.0,tulu,random,default,animals
Hillary Clinton,499,2.0,34,36,Simplicity,2,0.16,-777.7381021364082,1,0.9429065743944636,tulu,random,default,politicians
Donald Trump,499,1.0,29,36,Simplicity,1,0.16,-704.3563235957573,1,1.0,tulu,random,default,politicians
Joe Biden,499,1.0,42,36,Simplicity,1,0.16,-908.1216500757148,1,1.0,tulu,random,default,politicians
Elizabeth Warren,499,3.979591836734694,49,36,Simplicity,3,0.16,-1101.4544333757942,1,0.9208663057059558,tulu,random,default,politicians
Ronald Reagan,499,1.0,41,36,Simplicity,1,0.16,-903.57874877736,1,1.0,tulu,random,default,politicians
Bernie Sanders,499,2.0,53,36,Simplicity,2,0.16,-1168.7453741286615,1,0.9629761480954075,tulu,random,default,politicians
George W. Bush,499,1.0,37,36,Simplicity,1,0.16,-874.1353766767297,1,1.0,tulu,random,default,politicians
Barack Obama,499,2.0,37,36,Simplicity,2,0.16,-822.8998763445446,1,0.9474068663257852,tulu,random,default,politicians
Abraham Lincoln,499,1.0,49,36,Simplicity,1,0.16,-1032.7568693833314,1,1.0,tulu,random,default,politicians
Richard Nixon,499,1.0,41,36,Simplicity,1,0.16,-924.9158113662058,1,1.0,tulu,random,default,politicians
a salmon,499,2.333333333333333,3,36,Simplicity,2,0.16,-76.15999349149021,1,0.5555555555555556,tulu,nonsense,default,animals
an eagle,499,2.333333333333333,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556,tulu,nonsense,default,animals
an ostrich,499,1.0,8,36,Simplicity,1,0.16,-172.4003086502971,1,1.0,tulu,nonsense,default,animals
a whale,499,7.6,5,36,Simplicity,4,0.16,-127.08132129649374,1,0.28,tulu,nonsense,default,animals
a penguin,499,3.2,5,36,Simplicity,3,0.16,-126.58965981828172,1,0.3600000000000001,tulu,nonsense,default,animals
a robin,499,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0,tulu,nonsense,default,animals
Hillary Clinton,499,3.95,20,36,Simplicity,3,0.16,-460.3115566101618,1,0.815,tulu,nonsense,default,politicians
Donald Trump,499,6.833333333333333,18,36,Simplicity,4,0.16,-406.02520743311976,1,0.7037037037037038,tulu,nonsense,default,politicians
Joe Biden,499,1.0,25,36,Simplicity,1,0.16,-523.7765943612378,1,1.0,tulu,nonsense,default,politicians
Elizabeth Warren,499,2.0,25,36,Simplicity,2,0.16,-544.043470279868,1,0.9232,tulu,nonsense,default,politicians
Ronald Reagan,499,1.0,22,36,Simplicity,1,0.16,-464.6306137452412,1,1.0,tulu,nonsense,default,politicians
Bernie Sanders,499,2.0,25,36,Simplicity,2,0.16,-587.4565779588968,1,0.9232,tulu,nonsense,default,politicians
George W. Bush,499,21.6375,20,36,Simplicity,10,0.16,-490.3504668079096,1,0.24,tulu,nonsense,default,politicians
Barack Obama,499,6.88,25,36,Simplicity,4,0.16,-545.7179436307844,1,0.7792000000000001,tulu,nonsense,default,politicians
Abraham Lincoln,499,3.96,25,36,Simplicity,3,0.16,-525.4697551030406,1,0.8496000000000001,tulu,nonsense,default,politicians
Richard Nixon,499,2.0,20,36,Simplicity,2,0.16,-427.1546050238733,1,0.905,tulu,nonsense,default,politicians
a salmon,499,2.333333333333333,3,36,Simplicity,2,0.16,-76.15999349149021,1,0.5555555555555556,tulu,nonsense,default,animals
an eagle,499,2.333333333333333,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556,tulu,nonsense,default,animals
an ostrich,499,1.0,8,36,Simplicity,1,0.16,-172.4003086502971,1,1.0,tulu,nonsense,default,animals
a whale,499,7.6,5,36,Simplicity,4,0.16,-127.08132129649374,1,0.28,tulu,nonsense,default,animals
a penguin,499,3.2,5,36,Simplicity,3,0.16,-126.58965981828172,1,0.3600000000000001,tulu,nonsense,default,animals
a robin,499,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0,tulu,nonsense,default,animals
Hillary Clinton,499,3.95,20,36,Simplicity,3,0.16,-460.3115566101618,1,0.815,tulu,nonsense,default,politicians
Donald Trump,499,6.833333333333333,18,36,Simplicity,4,0.16,-406.02520743311976,1,0.7037037037037038,tulu,nonsense,default,politicians
Joe Biden,499,1.0,27,36,Simplicity,1,0.16,-567.2353529207228,1,1.0,tulu,nonsense,default,politicians
Elizabeth Warren,499,1.0,36,36,Simplicity,1,0.16,-763.2042566145504,1,1.0,tulu,nonsense,default,politicians
Ronald Reagan,499,1.0,22,36,Simplicity,1,0.16,-464.6306137452412,1,1.0,tulu,nonsense,default,politicians
Bernie Sanders,499,2.0,35,36,Simplicity,2,0.16,-773.453963040718,1,0.9444897959183672,tulu,nonsense,default,politicians
George W. Bush,499,21.6375,20,36,Simplicity,10,0.16,-490.3504668079096,1,0.24,tulu,nonsense,default,politicians
Barack Obama,499,2.0,26,36,Simplicity,2,0.16,-565.7519218376344,1,0.9260355029585798,tulu,nonsense,default,politicians
Abraham Lincoln,499,2.0,31,36,Simplicity,2,0.16,-624.639218176604,1,0.9375650364203956,tulu,nonsense,default,politicians
Richard Nixon,499,2.0,20,36,Simplicity,2,0.16,-427.1546050238733,1,0.905,tulu,nonsense,default,politicians
a salmon,499,2.333333333333333,3,36,Simplicity,2,0.16,-76.15999349149021,1,0.5555555555555556,tulu,nonsense,default,animals
an eagle,499,2.333333333333333,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556,tulu,nonsense,default,animals
an ostrich,499,1.0,8,36,Simplicity,1,0.16,-172.4003086502971,1,1.0,tulu,nonsense,default,animals
a whale,499,7.6,5,36,Simplicity,4,0.16,-127.08132129649374,1,0.28,tulu,nonsense,default,animals
a penguin,499,3.2,5,36,Simplicity,3,0.16,-126.58965981828172,1,0.3600000000000001,tulu,nonsense,default,animals
a robin,499,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0,tulu,nonsense,default,animals
Hillary Clinton,499,3.95,20,36,Simplicity,3,0.16,-460.3115566101618,1,0.815,tulu,nonsense,default,politicians
Donald Trump,499,6.833333333333333,18,36,Simplicity,4,0.16,-406.02520743311976,1,0.7037037037037038,tulu,nonsense,default,politicians
Joe Biden,499,1.0,27,36,Simplicity,1,0.16,-567.2353529207228,1,1.0,tulu,nonsense,default,politicians
Elizabeth Warren,499,1.0,36,36,Simplicity,1,0.16,-763.2042566145504,1,1.0,tulu,nonsense,default,politicians
Ronald Reagan,499,1.0,22,36,Simplicity,1,0.16,-464.6306137452412,1,1.0,tulu,nonsense,default,politicians
Bernie Sanders,499,2.0,35,36,Simplicity,2,0.16,-773.453963040718,1,0.9444897959183672,tulu,nonsense,default,politicians
George W. Bush,499,21.6375,20,36,Simplicity,10,0.16,-490.3504668079096,1,0.24,tulu,nonsense,default,politicians
Barack Obama,499,2.0,26,36,Simplicity,2,0.16,-565.7519218376344,1,0.9260355029585798,tulu,nonsense,default,politicians
Abraham Lincoln,499,2.0,31,36,Simplicity,2,0.16,-624.639218176604,1,0.9375650364203956,tulu,nonsense,default,politicians
Richard Nixon,499,2.0,20,36,Simplicity,2,0.16,-427.1546050238733,1,0.905,tulu,nonsense,default,politicians
a salmon,499,2.333333333333333,3,36,Simplicity,2,0.16,-76.15999349149021,1,0.5555555555555556,tulu,nonsense,default,animals
an eagle,499,2.333333333333333,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556,tulu,nonsense,default,animals
an ostrich,499,1.0,8,36,Simplicity,1,0.16,-172.4003086502971,1,1.0,tulu,nonsense,default,animals
a whale,499,7.6,5,36,Simplicity,4,0.16,-127.08132129649374,1,0.28,tulu,nonsense,default,animals
a penguin,499,3.2,5,36,Simplicity,3,0.16,-126.58965981828172,1,0.3600000000000001,tulu,nonsense,default,animals
a robin,499,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0,tulu,nonsense,default,animals
Hillary Clinton,499,3.95,20,36,Simplicity,3,0.16,-460.3115566101618,1,0.815,tulu,nonsense,default,politicians
Donald Trump,499,6.833333333333333,18,36,Simplicity,4,0.16,-406.02520743311976,1,0.7037037037037038,tulu,nonsense,default,politicians
Joe Biden,499,1.0,27,36,Simplicity,1,0.16,-567.2353529207228,1,1.0,tulu,nonsense,default,politicians
Elizabeth Warren,499,1.0,36,36,Simplicity,1,0.16,-763.2042566145504,1,1.0,tulu,nonsense,default,politicians
Ronald Reagan,499,1.0,22,36,Simplicity,1,0.16,-464.6306137452412,1,1.0,tulu,nonsense,default,politicians
Bernie Sanders,499,2.0,35,36,Simplicity,2,0.16,-773.453963040718,1,0.9444897959183672,tulu,nonsense,default,politicians
George W. Bush,499,21.6375,20,36,Simplicity,10,0.16,-490.3504668079096,1,0.24,tulu,nonsense,default,politicians
Barack Obama,499,2.0,26,36,Simplicity,2,0.16,-565.7519218376344,1,0.9260355029585798,tulu,nonsense,default,politicians
Abraham Lincoln,499,2.0,31,36,Simplicity,2,0.16,-624.639218176604,1,0.9375650364203956,tulu,nonsense,default,politicians
Richard Nixon,499,2.0,20,36,Simplicity,2,0.16,-427.1546050238733,1,0.905,tulu,nonsense,default,politicians
Hillary Clinton,499,2.0,23,36,Simplicity,2,0.16,-418.4115601512427,1,0.9168241965973536,tulu,identity,default,politicians
Donald Trump,499,6.666666666666666,9,36,Simplicity,4,0.16,-221.51454296333236,1,0.4814814814814814,tulu,identity,default,politicians
Joe Biden,499,2.0,25,36,Simplicity,2,0.16,-483.3721043183063,1,0.9232,tulu,identity,default,politicians
Elizabeth Warren,499,2.0,25,36,Simplicity,2,0.16,-500.71214720622265,1,0.9232,tulu,identity,default,politicians
Ronald Reagan,499,2.0,25,36,Simplicity,2,0.16,-558.7483939263938,1,0.9232,tulu,identity,default,politicians
Bernie Sanders,499,1.0,25,36,Simplicity,1,0.16,-465.6843535948228,1,1.0,tulu,identity,default,politicians
George W. Bush,499,3.9565217391304346,23,36,Simplicity,3,0.16,-537.8696726236204,1,0.8374291115311908,tulu,identity,default,politicians
Barack Obama,499,1.0,17,36,Simplicity,1,0.16,-370.61216985946345,1,1.0,tulu,identity,default,politicians
