Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
George W. Bush,499,1.0,75,36,Simplicity,1,0.16,-554.956272986869,1,1.0,gemma-instruct,none,default,politicians
Barack Obama,499,1.0,74,36,Simplicity,1,0.16,-298.28987419339967,1,1.0,gemma-instruct,none,default,politicians
Abraham Lincoln,499,1.0,75,36,Simplicity,1,0.16,-228.41569411859288,1,1.0,gemma-instruct,none,default,politicians
Richard Nixon,499,1.0,75,36,Simplicity,1,0.16,-322.1139218365563,1,1.0,gemma-instruct,none,default,politicians
a salmon,499,1.0,75,36,Simplicity,1,0.16,-621.3348768230395,1,1.0,gemma-instruct,none,default,animals
an eagle,499,1.0,75,36,Simplicity,1,0.16,-218.9858330169929,1,1.0,gemma-instruct,none,default,animals
a seal,499,1.0,65,36,Simplicity,1,0.16,-877.8696704312397,1,1.0,gemma-instruct,none,default,animals
an ostrich,499,1.0,75,36,Simplicity,1,0.16,-183.7921531656453,1,1.0,gemma-instruct,none,default,animals
a whale,499,1.0,75,36,Simplicity,1,0.16,-1041.5826433150542,1,1.0,gemma-instruct,none,default,animals
a chicken,499,1.0,75,36,Simplicity,1,0.16,-236.6277269511364,1,1.0,gemma-instruct,none,default,animals
a penguin,499,1.0,75,36,Simplicity,1,0.16,-529.0702596580999,1,1.0,gemma-instruct,none,default,animals
a robin,499,1.0,75,36,Simplicity,1,0.16,-111.35755812847331,1,1.0,gemma-instruct,none,default,animals
a finch,499,1.0,75,36,Simplicity,1,0.16,-178.13071151784987,1,1.0,gemma-instruct,none,default,animals
a dolphin,499,1.0,66,36,Simplicity,1,0.16,-899.249672803794,1,1.0,gemma-instruct,none,default,animals
Hillary Clinton,499,1.0,82,36,Simplicity,1,0.16,-384.90431368708505,1,1.0,gemma-instruct,none,default,politicians
Donald Trump,499,1.0,82,36,Simplicity,1,0.16,-525.0513487495275,1,1.0,gemma-instruct,none,default,politicians
Joe Biden,499,1.0,84,36,Simplicity,1,0.16,-234.2576142054829,1,1.0,gemma-instruct,none,default,politicians
Elizabeth Warren,499,1.0,96,36,Simplicity,1,0.16,-387.68277738974007,1,1.0,gemma-instruct,none,default,politicians
Ronald Reagan,499,1.0,94,36,Simplicity,1,0.16,-750.0844009138661,1,1.0,gemma-instruct,none,default,politicians
Bernie Sanders,499,1.0,98,36,Simplicity,1,0.16,-513.9873343382505,1,1.0,gemma-instruct,none,default,politicians
George W. Bush,499,1.0,86,36,Simplicity,1,0.16,-618.9736112673131,1,1.0,gemma-instruct,none,default,politicians
Barack Obama,499,1.0,74,36,Simplicity,1,0.16,-298.28987419339967,1,1.0,gemma-instruct,none,default,politicians
Abraham Lincoln,499,1.0,100,36,Simplicity,1,0.16,-284.75774708188845,1,1.0,gemma-instruct,none,default,politicians
Richard Nixon,499,1.0,83,36,Simplicity,1,0.16,-343.0902639855884,1,1.0,gemma-instruct,none,default,politicians
a salmon,499,1.0,81,36,Simplicity,1,0.16,-672.7066023539388,1,1.0,gemma-instruct,none,default,animals
an eagle,499,1.0,83,36,Simplicity,1,0.16,-242.20322901898132,1,1.0,gemma-instruct,none,default,animals
a seal,499,1.0,65,36,Simplicity,1,0.16,-877.8696704312397,1,1.0,gemma-instruct,none,default,animals
an ostrich,499,1.0,96,36,Simplicity,1,0.16,-224.0333036268796,1,1.0,gemma-instruct,none,default,animals
a whale,499,1.0,93,36,Simplicity,1,0.16,-1277.91045699332,1,1.0,gemma-instruct,none,default,animals
a chicken,499,1.0,93,36,Simplicity,1,0.16,-286.4545862324112,1,1.0,gemma-instruct,none,default,animals
a penguin,499,1.0,86,36,Simplicity,1,0.16,-602.1314290830019,1,1.0,gemma-instruct,none,default,animals
a robin,499,1.0,76,36,Simplicity,1,0.16,-111.6401290469978,1,1.0,gemma-instruct,none,default,animals
a finch,499,1.0,100,36,Simplicity,1,0.16,-223.5267421250437,1,1.0,gemma-instruct,none,default,animals
a dolphin,499,1.0,66,36,Simplicity,1,0.16,-899.249672803794,1,1.0,gemma-instruct,none,default,animals
Hillary Clinton,499,1.0,25,36,Simplicity,1,0.16,-184.72436714635728,1,1.0,gemma-instruct,none,1.5,politicians
Donald Trump,499,1.0,25,36,Simplicity,1,0.16,-234.0490434523771,1,1.0,gemma-instruct,none,1.5,politicians
Joe Biden,499,1.0,25,36,Simplicity,1,0.16,-136.28505224262884,1,1.0,gemma-instruct,none,1.5,politicians
Elizabeth Warren,499,1.0,25,36,Simplicity,1,0.16,-170.4890691328056,1,1.0,gemma-instruct,none,1.5,politicians
Ronald Reagan,499,1.0,25,36,Simplicity,1,0.16,-267.979124056879,1,1.0,gemma-instruct,none,1.5,politicians
Bernie Sanders,499,1.0,25,36,Simplicity,1,0.16,-191.11792810051003,1,1.0,gemma-instruct,none,1.5,politicians
George W. Bush,499,1.0,25,36,Simplicity,1,0.16,-249.9792440820817,1,1.0,gemma-instruct,none,1.5,politicians
Barack Obama,499,1.0,25,36,Simplicity,1,0.16,-188.7447675482672,1,1.0,gemma-instruct,none,1.5,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-127.84758616046292,1,1.0,gemma-instruct,none,1.5,politicians
Richard Nixon,499,1.0,25,36,Simplicity,1,0.16,-204.83853378922691,1,1.0,gemma-instruct,none,1.5,politicians
a salmon,499,1.0,25,36,Simplicity,1,0.16,-300.16224855725784,1,1.0,gemma-instruct,none,1.5,animals
an eagle,499,1.0,25,36,Simplicity,1,0.16,-128.63502797819262,1,1.0,gemma-instruct,none,1.5,animals
a seal,499,1.0,25,36,Simplicity,1,0.16,-409.8724516665755,1,1.0,gemma-instruct,none,1.5,animals
an ostrich,499,1.0,25,36,Simplicity,1,0.16,-108.78451213148487,1,1.0,gemma-instruct,none,1.5,animals
a whale,499,1.0,25,36,Simplicity,1,0.16,-413.7113458050239,1,1.0,gemma-instruct,none,1.5,animals
a chicken,499,1.0,25,36,Simplicity,1,0.16,-137.63786729267787,1,1.0,gemma-instruct,none,1.5,animals
a penguin,499,1.0,25,36,Simplicity,1,0.16,-243.44502875274335,1,1.0,gemma-instruct,none,1.5,animals
a robin,499,1.0,25,36,Simplicity,1,0.16,-81.2178227278657,1,1.0,gemma-instruct,none,1.5,animals
a finch,499,1.0,25,36,Simplicity,1,0.16,-102.44732842626334,1,1.0,gemma-instruct,none,1.5,animals
a dolphin,499,1.0,25,36,Simplicity,1,0.16,-423.6360844462966,1,1.0,gemma-instruct,none,1.5,animals
Hillary Clinton,499,1.0,50,36,Simplicity,1,0.16,-302.5137263504954,1,1.0,gemma-instruct,none,1.5,politicians
Donald Trump,499,1.0,50,36,Simplicity,1,0.16,-430.2467153868287,1,1.0,gemma-instruct,none,1.5,politicians
Joe Biden,499,1.0,50,36,Simplicity,1,0.16,-245.4936855854247,1,1.0,gemma-instruct,none,1.5,politicians
Elizabeth Warren,499,1.0,50,36,Simplicity,1,0.16,-309.4054353839607,1,1.0,gemma-instruct,none,1.5,politicians
Ronald Reagan,499,1.0,50,36,Simplicity,1,0.16,-503.343476580404,1,1.0,gemma-instruct,none,1.5,politicians
Bernie Sanders,499,1.0,50,36,Simplicity,1,0.16,-339.6287206543343,1,1.0,gemma-instruct,none,1.5,politicians
George W. Bush,499,1.0,50,36,Simplicity,1,0.16,-468.523590592574,1,1.0,gemma-instruct,none,1.5,politicians
Barack Obama,499,1.0,50,36,Simplicity,1,0.16,-328.93058861989846,1,1.0,gemma-instruct,none,1.5,politicians
Abraham Lincoln,499,1.0,50,36,Simplicity,1,0.16,-237.89560976632373,1,1.0,gemma-instruct,none,1.5,politicians
Richard Nixon,499,1.0,50,36,Simplicity,1,0.16,-373.68970815714056,1,1.0,gemma-instruct,none,1.5,politicians
a salmon,499,1.0,50,36,Simplicity,1,0.16,-540.685570102588,1,1.0,gemma-instruct,none,1.5,animals
an eagle,499,1.0,50,36,Simplicity,1,0.16,-202.7765528162633,1,1.0,gemma-instruct,none,1.5,animals
a seal,499,1.0,50,36,Simplicity,1,0.16,-768.3469236216132,1,1.0,gemma-instruct,none,1.5,animals
an ostrich,499,1.0,50,36,Simplicity,1,0.16,-185.720031342988,1,1.0,gemma-instruct,none,1.5,animals
a whale,499,1.0,50,36,Simplicity,1,0.16,-810.3786526863421,1,1.0,gemma-instruct,none,1.5,animals
a chicken,499,1.0,50,36,Simplicity,1,0.16,-241.09272163254067,1,1.0,gemma-instruct,none,1.5,animals
a penguin,499,1.0,50,36,Simplicity,1,0.16,-418.0517312259203,1,1.0,gemma-instruct,none,1.5,animals
a robin,499,1.0,50,36,Simplicity,1,0.16,-150.39955079223782,1,1.0,gemma-instruct,none,1.5,animals
a finch,499,1.0,50,36,Simplicity,1,0.16,-170.66446185893537,1,1.0,gemma-instruct,none,1.5,animals
a dolphin,499,1.0,50,36,Simplicity,1,0.16,-788.935616549034,1,1.0,gemma-instruct,none,1.5,animals
Hillary Clinton,499,1.0,71,36,Simplicity,1,0.16,-424.1568912361323,1,1.0,gemma-instruct,none,1.5,politicians
Donald Trump,499,1.0,52,36,Simplicity,1,0.16,-450.6303804065877,1,1.0,gemma-instruct,none,1.5,politicians
Joe Biden,499,1.0,71,36,Simplicity,1,0.16,-317.57405447871884,1,1.0,gemma-instruct,none,1.5,politicians
Elizabeth Warren,499,1.0,75,36,Simplicity,1,0.16,-436.2131813182007,1,1.0,gemma-instruct,none,1.5,politicians
Ronald Reagan,499,1.0,75,36,Simplicity,1,0.16,-723.3276586768212,1,1.0,gemma-instruct,none,1.5,politicians
Bernie Sanders,499,1.0,75,36,Simplicity,1,0.16,-486.62546089200936,1,1.0,gemma-instruct,none,1.5,politicians
George W. Bush,499,1.0,75,36,Simplicity,1,0.16,-667.6767112510033,1,1.0,gemma-instruct,none,1.5,politicians
Barack Obama,499,1.0,61,36,Simplicity,1,0.16,-388.4558586491034,1,1.0,gemma-instruct,none,1.5,politicians
Abraham Lincoln,499,1.0,75,36,Simplicity,1,0.16,-327.07846408547186,1,1.0,gemma-instruct,none,1.5,politicians
Richard Nixon,499,1.0,73,36,Simplicity,1,0.16,-518.8230919749469,1,1.0,gemma-instruct,none,1.5,politicians
a salmon,499,1.0,65,36,Simplicity,1,0.16,-686.9665213093502,1,1.0,gemma-instruct,none,1.5,animals
an eagle,499,1.0,75,36,Simplicity,1,0.16,-277.6866569985365,1,1.0,gemma-instruct,none,1.5,animals
a seal,499,1.0,60,36,Simplicity,1,0.16,-906.692588727436,1,1.0,gemma-instruct,none,1.5,animals
an ostrich,499,1.0,75,36,Simplicity,1,0.16,-253.22578419290303,1,1.0,gemma-instruct,none,1.5,animals
a whale,499,1.0,75,36,Simplicity,1,0.16,-1150.229297787076,1,1.0,gemma-instruct,none,1.5,animals
a chicken,499,1.0,75,36,Simplicity,1,0.16,-326.9802563444296,1,1.0,gemma-instruct,none,1.5,animals
a penguin,499,1.0,75,36,Simplicity,1,0.16,-585.2674228666995,1,1.0,gemma-instruct,none,1.5,animals
a robin,499,1.0,74,36,Simplicity,1,0.16,-208.83557163996284,1,1.0,gemma-instruct,none,1.5,animals
a finch,499,1.0,75,36,Simplicity,1,0.16,-235.2717485463132,1,1.0,gemma-instruct,none,1.5,animals
a dolphin,499,1.0,51,36,Simplicity,1,0.16,-802.3314369283414,1,1.0,gemma-instruct,none,1.5,animals
Hillary Clinton,499,1.0,71,36,Simplicity,1,0.16,-424.1568912361323,1,1.0,gemma-instruct,none,1.5,politicians
Donald Trump,499,1.0,52,36,Simplicity,1,0.16,-450.6303804065877,1,1.0,gemma-instruct,none,1.5,politicians
Joe Biden,499,1.0,71,36,Simplicity,1,0.16,-317.57405447871884,1,1.0,gemma-instruct,none,1.5,politicians
Elizabeth Warren,499,1.0,86,36,Simplicity,1,0.16,-492.0548604747172,1,1.0,gemma-instruct,none,1.5,politicians
Ronald Reagan,499,1.0,87,36,Simplicity,1,0.16,-829.9571160692757,1,1.0,gemma-instruct,none,1.5,politicians
Bernie Sanders,499,1.0,92,36,Simplicity,1,0.16,-579.4284745701925,1,1.0,gemma-instruct,none,1.5,politicians
George W. Bush,499,1.0,82,36,Simplicity,1,0.16,-719.43480323614,1,1.0,gemma-instruct,none,1.5,politicians
Barack Obama,499,1.0,61,36,Simplicity,1,0.16,-388.4558586491034,1,1.0,gemma-instruct,none,1.5,politicians
Abraham Lincoln,499,1.0,100,36,Simplicity,1,0.16,-432.4362914887435,1,1.0,gemma-instruct,none,1.5,politicians
Richard Nixon,499,1.0,73,36,Simplicity,1,0.16,-518.8230919749469,1,1.0,gemma-instruct,none,1.5,politicians
a salmon,499,1.0,65,36,Simplicity,1,0.16,-686.9665213093502,1,1.0,gemma-instruct,none,1.5,animals
an eagle,499,1.0,80,36,Simplicity,1,0.16,-293.1516478305686,1,1.0,gemma-instruct,none,1.5,animals
a seal,499,1.0,60,36,Simplicity,1,0.16,-906.692588727436,1,1.0,gemma-instruct,none,1.5,animals
an ostrich,499,1.0,93,36,Simplicity,1,0.16,-301.683022910818,1,1.0,gemma-instruct,none,1.5,animals
a whale,499,1.0,83,36,Simplicity,1,0.16,-1275.4955236696658,1,1.0,gemma-instruct,none,1.5,animals
a chicken,499,1.0,88,36,Simplicity,1,0.16,-365.55212438729785,1,1.0,gemma-instruct,none,1.5,animals
a penguin,499,1.0,78,36,Simplicity,1,0.16,-607.5499200796571,1,1.0,gemma-instruct,none,1.5,animals
a robin,499,1.0,74,36,Simplicity,1,0.16,-208.83557163996284,1,1.0,gemma-instruct,none,1.5,animals
a finch,499,1.0,100,36,Simplicity,1,0.16,-275.9516187330564,1,1.0,gemma-instruct,none,1.5,animals
a dolphin,499,1.0,51,36,Simplicity,1,0.16,-802.3314369283414,1,1.0,gemma-instruct,none,1.5,animals
a salmon,499,1.0,25,36,Simplicity,1,0.16,-347.19796778137135,1,1.0,gemma-instruct,none,2.0,animals
an eagle,499,1.0,25,36,Simplicity,1,0.16,-141.74283605491905,1,1.0,gemma-instruct,none,2.0,animals
a seal,499,1.0,25,36,Simplicity,1,0.16,-480.0274716551509,1,1.0,gemma-instruct,none,2.0,animals
an ostrich,499,1.0,25,36,Simplicity,1,0.16,-137.75959990251505,1,1.0,gemma-instruct,none,2.0,animals
a whale,499,1.0,25,36,Simplicity,1,0.16,-472.1535352304516,1,1.0,gemma-instruct,none,2.0,animals
a chicken,499,1.0,25,36,Simplicity,1,0.16,-188.2862955371137,1,1.0,gemma-instruct,none,2.0,animals
a penguin,499,1.0,25,36,Simplicity,1,0.16,-276.53281417062294,1,1.0,gemma-instruct,none,2.0,animals
a robin,499,1.0,25,36,Simplicity,1,0.16,-142.64881585405658,1,1.0,gemma-instruct,none,2.0,animals
a finch,499,1.0,25,36,Simplicity,1,0.16,-122.92706041485192,1,1.0,gemma-instruct,none,2.0,animals
a dolphin,499,1.0,25,36,Simplicity,1,0.16,-443.2571121887341,1,1.0,gemma-instruct,none,2.0,animals
Hillary Clinton,499,1.0,25,36,Simplicity,1,0.16,-245.81350921272997,1,1.0,gemma-instruct,none,2.0,politicians
Donald Trump,499,1.0,20,36,Simplicity,1,0.16,-259.9157796654468,1,1.0,gemma-instruct,none,2.0,politicians
Joe Biden,499,1.0,25,36,Simplicity,1,0.16,-165.29132849178686,1,1.0,gemma-instruct,none,2.0,politicians
Elizabeth Warren,499,1.0,25,36,Simplicity,1,0.16,-219.9546783786064,1,1.0,gemma-instruct,none,2.0,politicians
Ronald Reagan,499,1.0,25,36,Simplicity,1,0.16,-333.5084466455918,1,1.0,gemma-instruct,none,2.0,politicians
Bernie Sanders,499,1.0,25,36,Simplicity,1,0.16,-222.70393599393424,1,1.0,gemma-instruct,none,2.0,politicians
George W. Bush,499,1.0,25,36,Simplicity,1,0.16,-293.1617755265755,1,1.0,gemma-instruct,none,2.0,politicians
Barack Obama,499,1.0,25,36,Simplicity,1,0.16,-242.5979271058882,1,1.0,gemma-instruct,none,2.0,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-191.61309120227304,1,1.0,gemma-instruct,none,2.0,politicians
Richard Nixon,499,1.0,25,36,Simplicity,1,0.16,-289.448117720229,1,1.0,gemma-instruct,none,2.0,politicians
a salmon,499,1.0,27,36,Simplicity,1,0.16,-373.0747246204869,1,1.0,gemma-instruct,none,2.0,animals
an eagle,499,1.0,50,36,Simplicity,1,0.16,-244.7569791150099,1,1.0,gemma-instruct,none,2.0,animals
a seal,499,2.0,35,36,Simplicity,2,0.16,-640.3191961531852,1,0.9444897959183672,gemma-instruct,none,2.0,animals
an ostrich,499,1.0,50,36,Simplicity,1,0.16,-240.6156187026745,1,1.0,gemma-instruct,none,2.0,animals
a whale,499,1.0,42,36,Simplicity,1,0.16,-754.2229939905988,1,1.0,gemma-instruct,none,2.0,animals
a chicken,499,1.0,50,36,Simplicity,1,0.16,-313.48541791584057,1,1.0,gemma-instruct,none,2.0,animals
a penguin,499,1.0,50,36,Simplicity,1,0.16,-497.9457878074917,1,1.0,gemma-instruct,none,2.0,animals
a robin,499,1.0,48,36,Simplicity,1,0.16,-258.51106009187504,1,1.0,gemma-instruct,none,2.0,animals
a finch,499,1.0,50,36,Simplicity,1,0.16,-202.6956032172756,1,1.0,gemma-instruct,none,2.0,animals
a dolphin,499,1.0,44,36,Simplicity,1,0.16,-719.3219976712891,1,1.0,gemma-instruct,none,2.0,animals
Hillary Clinton,499,1.0,40,36,Simplicity,1,0.16,-346.9072586956768,1,1.0,gemma-instruct,none,2.0,politicians
Donald Trump,499,1.0,20,36,Simplicity,1,0.16,-259.9157796654468,1,1.0,gemma-instruct,none,2.0,politicians
Joe Biden,499,1.0,42,36,Simplicity,1,0.16,-253.0176080653948,1,1.0,gemma-instruct,none,2.0,politicians
Elizabeth Warren,499,1.0,50,36,Simplicity,1,0.16,-385.8379310322941,1,1.0,gemma-instruct,none,2.0,politicians
Ronald Reagan,499,1.0,50,36,Simplicity,1,0.16,-601.6674860774906,1,1.0,gemma-instruct,none,2.0,politicians
Bernie Sanders,499,1.0,50,36,Simplicity,1,0.16,-435.90614197592174,1,1.0,gemma-instruct,none,2.0,politicians
George W. Bush,499,1.0,50,36,Simplicity,1,0.16,-551.1237906483744,1,1.0,gemma-instruct,none,2.0,politicians
Barack Obama,499,1.0,37,36,Simplicity,1,0.16,-344.0405387047001,1,1.0,gemma-instruct,none,2.0,politicians
Abraham Lincoln,499,1.0,50,36,Simplicity,1,0.16,-353.9942613142754,1,1.0,gemma-instruct,none,2.0,politicians
Richard Nixon,499,1.0,42,36,Simplicity,1,0.16,-437.19773372355394,1,1.0,gemma-instruct,none,2.0,politicians
a salmon,499,1.0,27,36,Simplicity,1,0.16,-373.0747246204869,1,1.0,gemma-instruct,none,2.0,animals
an eagle,499,1.0,53,36,Simplicity,1,0.16,-258.27955849490394,1,1.0,gemma-instruct,none,2.0,animals
a seal,499,2.0,35,36,Simplicity,2,0.16,-640.3191961531852,1,0.9444897959183672,gemma-instruct,none,2.0,animals
an ostrich,499,1.0,65,36,Simplicity,1,0.16,-297.80856907226064,1,1.0,gemma-instruct,none,2.0,animals
a whale,499,1.0,42,36,Simplicity,1,0.16,-754.2229939905988,1,1.0,gemma-instruct,none,2.0,animals
a chicken,499,1.0,58,36,Simplicity,1,0.16,-353.3042969343295,1,1.0,gemma-instruct,none,2.0,animals
a penguin,499,1.0,54,36,Simplicity,1,0.16,-535.042699657876,1,1.0,gemma-instruct,none,2.0,animals
a robin,499,1.0,48,36,Simplicity,1,0.16,-258.51106009187504,1,1.0,gemma-instruct,none,2.0,animals
a finch,499,1.0,65,36,Simplicity,1,0.16,-247.7174175897193,1,1.0,gemma-instruct,none,2.0,animals
a dolphin,499,1.0,44,36,Simplicity,1,0.16,-719.3219976712891,1,1.0,gemma-instruct,none,2.0,animals
Hillary Clinton,499,1.0,40,36,Simplicity,1,0.16,-346.9072586956768,1,1.0,gemma-instruct,none,2.0,politicians
Donald Trump,499,1.0,20,36,Simplicity,1,0.16,-259.9157796654468,1,1.0,gemma-instruct,none,2.0,politicians
Joe Biden,499,1.0,42,36,Simplicity,1,0.16,-253.0176080653948,1,1.0,gemma-instruct,none,2.0,politicians
Elizabeth Warren,499,1.0,58,36,Simplicity,1,0.16,-431.6901700548151,1,1.0,gemma-instruct,none,2.0,politicians
Ronald Reagan,499,1.0,63,36,Simplicity,1,0.16,-731.9059818399671,1,1.0,gemma-instruct,none,2.0,politicians
Bernie Sanders,499,1.0,66,36,Simplicity,1,0.16,-553.7816810245745,1,1.0,gemma-instruct,none,2.0,politicians
George W. Bush,499,1.0,59,36,Simplicity,1,0.16,-652.3903992347857,1,1.0,gemma-instruct,none,2.0,politicians
Barack Obama,499,1.0,37,36,Simplicity,1,0.16,-344.0405387047001,1,1.0,gemma-instruct,none,2.0,politicians
Abraham Lincoln,499,1.0,65,36,Simplicity,1,0.16,-436.8377290651889,1,1.0,gemma-instruct,none,2.0,politicians
Richard Nixon,499,1.0,42,36,Simplicity,1,0.16,-437.19773372355394,1,1.0,gemma-instruct,none,2.0,politicians
a salmon,499,1.0,27,36,Simplicity,1,0.16,-373.0747246204869,1,1.0,gemma-instruct,none,2.0,animals
an eagle,499,1.0,53,36,Simplicity,1,0.16,-258.27955849490394,1,1.0,gemma-instruct,none,2.0,animals
a seal,499,2.0,35,36,Simplicity,2,0.16,-640.3191961531852,1,0.9444897959183672,gemma-instruct,none,2.0,animals
an ostrich,499,1.0,65,36,Simplicity,1,0.16,-297.80856907226064,1,1.0,gemma-instruct,none,2.0,animals
a whale,499,1.0,42,36,Simplicity,1,0.16,-754.2229939905988,1,1.0,gemma-instruct,none,2.0,animals
a chicken,499,1.0,58,36,Simplicity,1,0.16,-353.3042969343295,1,1.0,gemma-instruct,none,2.0,animals
a penguin,499,1.0,54,36,Simplicity,1,0.16,-535.042699657876,1,1.0,gemma-instruct,none,2.0,animals
a robin,499,1.0,48,36,Simplicity,1,0.16,-258.51106009187504,1,1.0,gemma-instruct,none,2.0,animals
a finch,499,1.0,65,36,Simplicity,1,0.16,-247.7174175897193,1,1.0,gemma-instruct,none,2.0,animals
